id,video_id,author,comment,published_at,like_count
993,TqwJIoKNpdw,@rosiekidane4516,AMEN❤️AMEN🙏,2022-01-03T23:05:51Z,0
994,-_6dQmCBwDo,@goodlive1573,Thanks for the mighty Lord 💗 God 💗,2022-01-02T04:35:00Z,0
995,-_6dQmCBwDo,@goodlive1573,EgiziAbiher yimesigen,2022-01-02T04:34:46Z,0
1565,d4xTFbme_DM,@fraolEtichaofficall,Dmtwet yamral,2022-01-01T19:06:44Z,0
1889,yiS7SpT9pVc,@abeethiopia5769,እንዴት ያምራሉ? ረዥም ዕድሜን ተመኘሁ።,2021-12-31T08:20:44Z,4
1890,yiS7SpT9pVc,@Nolawieneye,ዝማሬ መላእክት ያሰማልን!!!,2021-12-30T14:10:47Z,4
1858,fykhI4ZkxwY,@bogalebeyene3936,...Lord of Sabbath.,2021-12-29T20:56:12Z,2
996,hLJEH7OPGKA,@goodlive1573,Thanks for the mighty Lord 💖 God ❤️,2021-12-27T00:09:14Z,0
997,hLJEH7OPGKA,@goodlive1573,EgziAbiher yimesigen.,2021-12-27T00:09:01Z,0
1407,FNOr_V76Aeg,@tallybus84news,"ለአፃብኢክሙ 33:26 
ርእይዎ ዚቅ 44:22
ለልደትከ ነግሥ 1:17:15 
በጎል ሰከበ ዚቅ 1:27:41
ለአጽፋረ እዴከ 2:38:44
አንፈርዓፁ ዚቅ 2:48:32
ምል. ዝማሜ 3:46:36",2021-12-25T08:10:22Z,5
998,cq7ogYNti9I,@goodlive1573,EgziAbiher yimesigen,2021-12-23T02:46:07Z,0
999,cq7ogYNti9I,@goodlive1573,Amen,2021-12-23T02:45:59Z,0
1000,cq7ogYNti9I,@goodlive1573,Thanks for the mighty Lord 💖 God ❤️ Amen.,2021-12-23T02:45:53Z,0
1285,1H0WsOSJYaA,@childofgod9735,May you hear the word of life,2021-12-22T21:56:53Z,0
1286,1H0WsOSJYaA,@childofgod9735,Amen,2021-12-22T02:55:15Z,0
1001,Ng3nDq3EyFk,@mkm199,Do you like the music,2021-12-21T21:36:18Z,1
1803,h7wCOzRdURI,@ዳዊተ,25:36,2021-12-19T03:50:29Z,0
1350,teLkQrB2YA8,@genetyihun2082,ቃለሕይወት ያሰማልን,2021-12-17T02:06:36Z,0
1891,yiS7SpT9pVc,@fraolEtichaofficall,kale Hiwet yasemaln,2021-12-14T08:34:14Z,4
1351,HF05Ca84U_I,@st.georges1157,Video  tegemtilu,2021-12-12T14:11:37Z,0
1865,4Nl6aib4jQI,@mahtotmullie2127,"dess yilal
kibr yadililn",2021-12-06T12:07:34Z,2
1002,jQFKbuOd_Nw,@barcoteabenet1511,እግዚአብሔር እውነት የተሰራውን በደል አያውቅም ማለት ነው በፀሎት እግዚአብሔር አይታለልም እግዚአብሔር ይፍረድ ልብና ኩላሊትን የሚመረምር እሱ ነው በቀል የእኔ ነው ይላል የእግዚአብሔር ቃል,2021-12-06T04:33:59Z,0
1003,G1UVYQAaVxM,@almazbati2519,እረ እባካችሁን እቤት ያለነው እንስማ እኛንስ ማን ያፅናናን,2021-12-06T00:00:07Z,0
1004,tfSK44qkAUg,@menbilove2757,enkuan Adersheew 🙏🙏🙏,2021-12-01T12:56:52Z,0
2386,0Q0bXK9F9mw,@brhanetekleab6391,🙏🏾🙏🏾🙏🏾,2021-11-30T21:53:51Z,4
1005,9DgDhm697g0,@اميرهاميره-ف4ص,ባሁኑ ሥአት በዚህ መልኩ መሸኘት ምንኛ መታደል ነው,2021-11-30T15:36:22Z,0
1008,2WWHIoJG5lY,@yaredmekonnen2286,እግዚአብሔር ነፍሷን በአፀደ ገነት ያኑር። ለመላው ቤተሰብ እና ጓደኞች መጽናናትን እና ብርታትን እንዲሰጥ ከልብ እመኛለሁ!!!😥😥😥,2021-11-30T13:42:28Z,0
1006,9DgDhm697g0,@yaredmekonnen2286,እግዚአብሔር ነፍሷን በአፀደ ገነት ያኑር!!! መጽናናትን እና ብርታትን ለመላው ቤተሰብ እና ጓደኞች እንዲሰጥ ከልብ እመኛለሁ!!!😥😥😥,2021-11-30T13:36:41Z,0
1007,7IRcXwWKr1A,@yaredmekonnen2286,እግዚአብሔር ነፍሷን በአፀደ ገነት ያኑር። ለመላው ቤተሰብ እና ጓደኞች መጽናናትን እና ብርታትን እንዲሰጥ ከልብ እመኛለሁ!!!😥😥😥,2021-11-30T13:33:27Z,0
1952,bcP5Go0j3sE,@mezgebegidena864,ግሩም,2021-11-30T07:08:14Z,0
1009,2WWHIoJG5lY,@senedutemesgen2322,"እግዚአብሔር  ነፍሷን በአፀደ  ገነት  ያኑረው፣ ለቤተሰቡ መጽናናትን  ይስጥልን ።
ስንዱ",2021-11-29T19:12:47Z,0
2080,iCQtZ6bwKWc,@zematube1219,ኪሩቤል  ሁለተኛው ነው አሪፍ  !,2021-11-29T14:23:01Z,0
1165,b7khkoPukhw,@tk-wn6xi,Amen Amen 🙏,2021-11-27T14:10:19Z,0
1010,8cLJe2vbhLQ,@mesetawetdubai768,🧡💙💙💐💜,2021-11-23T20:34:09Z,0
1953,bcP5Go0j3sE,@natnael2562,ይበል ነው በእውነት,2021-11-23T17:30:22Z,0
1011,da2P6LOB64Q,@menbilove2757,Elllll Abotchenn edeme yestelen 👏🏿👏🏿👏🏿Ethiopian selam yargelen🙏🙏🙏,2021-11-22T15:55:45Z,0
1012,nFEHTXVeQCs,@menbilove2757,Nefese yamar🙏🙏,2021-11-20T18:26:18Z,0
1892,yiS7SpT9pVc,@yohannesnurga4887,"ምልጣን 00:51
ንሽ 1 - 5:00
ንሽ 2 - 7:01",2021-11-20T03:48:59Z,6
1804,h7wCOzRdURI,@dejenesurafel9430,ቅዳሴ ዜማ ካለ ይላኩልን,2021-11-17T09:12:01Z,2
1013,lUhPC76qmQE,@goodlive1573,EgiziAbiher yimesigen,2021-11-17T02:59:25Z,1
2115,wfk5qMVnK08,@hadiskidantube972,ዓረፍተ ገብረ ነው ዘሩ,2021-11-16T05:21:37Z,1
